Assay	Cell Type	Molecule
CAGE	lens epithelial cell line:SRA 01/04	
CAGE	lens epithelial cell line:SRA 01/04	
CAGE	mucinous adenocarcinoma cell line:JHOM-1	
CAGE	mucinous adenocarcinoma cell line:JHOM-1	
CAGE	neuroectodermal tumor cell line:FU-RPNT-2	
CAGE	neuroectodermal tumor cell line:FU-RPNT-2	
CAGE	smooth muscle, adult, pool1	
CAGE	smooth muscle, adult, pool1	
CAGE	pancreas, adult,	
CAGE	pancreas, adult,	
CAGE	heart, adult, diseased post-infarction,	
CAGE	heart, adult, diseased post-infarction,	
CAGE	heart, adult, diseased,	
CAGE	heart, adult, diseased,	
CAGE	aorta, adult, pool1	
CAGE	aorta, adult, pool1	
CAGE	blood, adult, pool1	
CAGE	blood, adult, pool1	
CAGE	eye, fetal,	
CAGE	eye, fetal,	
CAGE	uterus, fetal,	
CAGE	uterus, fetal,	
CAGE	spinal cord, fetal,	
CAGE	spinal cord, fetal,	
CAGE	umbilical cord, fetal,	
CAGE	umbilical cord, fetal,	
CAGE	trachea, fetal,	
CAGE	trachea, fetal,	
CAGE	tongue, fetal,	
CAGE	tongue, fetal,	
CAGE	thyroid, fetal,	
CAGE	thyroid, fetal,	
CAGE	throat, fetal,	
CAGE	throat, fetal,	
CAGE	stomach, fetal,	
CAGE	stomach, fetal,	
CAGE	temporal lobe, fetal, , tech_	
CAGE	temporal lobe, fetal, , tech_	
CAGE	small intestine, fetal,	
CAGE	small intestine, fetal,	
CAGE	skin, fetal,	
CAGE	skin, fetal,	
CAGE	skeletal muscle, fetal,	
CAGE	skeletal muscle, fetal,	
CAGE	rectum, fetal,	
CAGE	rectum, fetal,	
CAGE	diaphragm, fetal,	
CAGE	diaphragm, fetal,	
CAGE	colon, fetal,	
CAGE	colon, fetal,	
CAGE	duodenum, fetal, , tech_	
CAGE	duodenum, fetal, , tech_	
CAGE	parietal lobe, fetal,	
CAGE	parietal lobe, fetal,	
CAGE	occipital lobe, fetal,	
CAGE	occipital lobe, fetal,	
CAGE	skin, adult,	
CAGE	skin, adult,	
CAGE	lung, right lower lobe, adult,	
CAGE	lung, right lower lobe, adult,	
CAGE	occipital lobe, adult,	
CAGE	occipital lobe, adult,	
CAGE	lymph node, adult,	
CAGE	lymph node, adult,	
CAGE	left ventricle, adult,	
CAGE	left ventricle, adult,	
CAGE	left atrium, adult,	
CAGE	left atrium, adult,	
CAGE	breast, adult,	
CAGE	breast, adult,	
CAGE	adrenal gland, adult, pool1	
CAGE	adrenal gland, adult, pool1	
CAGE	colon, adult,	
CAGE	colon, adult,	
CAGE	cerebellum, adult, pool1	
CAGE	cerebellum, adult, pool1	
CAGE	brain, adult,	
CAGE	brain, adult,	
CAGE	brain, fetal, pool1	
CAGE	brain, fetal, pool1	
CAGE	liver, fetal, pool1	
CAGE	liver, fetal, pool1	
CAGE	oral squamous cell carcinoma cell line:SAS	
CAGE	oral squamous cell carcinoma cell line:SAS	
CAGE	neuroblastoma cell line:NH-12	
